nama,MIE KALEM,MIE GEMES LV 1,MIE GEMES LV 2,MIE GEMES LV 3,MIE GEMES LV 4,MIE AYAM,MIE AYAM PANGSIT,MIE AYAM CEKER,MIE AYAM BAKSO,MIE YAMIN (0),MIE YAMIN LV 1,MIE YAMIN LV 2,MIE YAMIN LV 3,MIE YAMIN LV 4,CWIE MIE,CWIE MIE PANGSIT,CWIE MIE BAKSO,BAKSO SAPI,MIE AYAM KOMPLIT,TEH HANGAT,ES TEH,JERUK HANGAT,ES JERUK,ES BERAS KENCUR,CAPPUCINO CINCAU,THAI TEA,GREEN THAI TEA,ES KOPI MILO,AIR MINERAL,ES MILO,GOODDAY CAPPUCINO,HOT LEMON TEA,ES LEMON TEA,ES KOPI SUSU,ES KOPI SUSU VANILLA,ES KOPI SUSU RUM REGAL,KOPI HITAM,PANGSIT GORENG,PANGSIT REBUS,DIMSUM BOLA RAMBUTAN,DIMSUM SIOMAY BEEF,DIMSUM SIOMAY SALMON,DIMSUM SIOMAY AYAM,DIMSUM KEICHAK,DIMSUM SUSHI,DIMSUM TIM TAHU,DIMSUM MONEY BAG,DIMSUM SPRING ROLL,DIMSUM LUMPIA NORI,DIMSUM BOLA KEJU,DIMSUM SIOMAY CRAB,DIMSUM SIOMAY KEJU,DIMSUM SIOMAY MOZARELLA,DIMSUM SIOMAY RANJAU,DIMSUM SIOMAY JAMUR,DIMSUM XIAO LONG BAO,DIMSUM EKADO
MIE KALEM,0.9999999,0.9755359,0.97687197,0.9786128,0.9710019,0.8584715,0.8520032,0.8484055,0.83529794,0.9749954,0.9673767,0.9699832,0.972023,0.97104037,0.88899857,0.88791054,0.86419964,0.25767797,0.7660583,0.3815235,0.6117619,0.42374325,0.57834995,0.4673774,0.48454744,0.6359167,0.52905595,0.6300349,0.53649324,0.5010194,0.45045128,0.5870132,0.6164714,0.6940403,0.6974124,0.61277694,0.62357795,0.6458502,0.6543453,0.6259979,0.5417119,0.43731022,0.7244072,0.542673,0.4677108,0.6428298,0.55422807,0.4311767,0.60728693,0.5132074,0.6330335,0.803213,0.62043154,0.64120036,0.6523781,0.6327905,0.658716
MIE GEMES LV 1,0.9755359,1.0000004,0.9935894,0.99056596,0.9887608,0.8598811,0.85909045,0.8542299,0.8407018,0.95079386,0.97514963,0.9718738,0.9707651,0.9751355,0.8957133,0.89463985,0.87003607,0.2551883,0.7805079,0.37863302,0.6470171,0.4301924,0.6082847,0.46029818,0.47306412,0.6539231,0.5336195,0.6474181,0.5414245,0.517945,0.43821764,0.6226045,0.635695,0.7224766,0.72219175,0.6356719,0.61762166,0.6583644,0.6664202,0.65155625,0.54478633,0.4422269,0.74836606,0.54707766,0.46771142,0.6438788,0.5381727,0.44112754,0.6224228,0.5203272,0.6393245,0.8105287,0.6471361,0.6402683,0.68050796,0.63174933,0.6658726
MIE GEMES LV 2,0.97687197,0.9935894,0.9999999,0.9916197,0.9908103,0.85343486,0.85442364,0.8524381,0.8359099,0.95030904,0.9690964,0.9762659,0.9708318,0.97561383,0.89536846,0.8980559,0.8695202,0.25479186,0.78125596,0.35781866,0.63987267,0.4238448,0.5937542,0.44068548,0.45524442,0.6415488,0.52557075,0.64526623,0.5252141,0.50463736,0.43067384,0.6173307,0.6215365,0.7155689,0.7238315,0.61735797,0.6239945,0.655634,0.6614046,0.6478721,0.5391931,0.43613672,0.74171805,0.54423654,0.45506045,0.64440906,0.5347049,0.4374267,0.62201655,0.5275501,0.64275396,0.81651974,0.6426315,0.6373019,0.6757467,0.63356566,0.66463715
MIE GEMES LV 3,0.9786128,0.99056596,0.9916197,1.0,0.98589176,0.84493434,0.84486526,0.84035,0.82619596,0.9537932,0.9665277,0.96962416,0.97623223,0.9720967,0.8849288,0.8832873,0.8601179,0.24605392,0.7700654,0.3792999,0.6369025,0.42034686,0.5988321,0.44788492,0.46935457,0.63984203,0.53557885,0.6315569,0.5318903,0.5063751,0.4338477,0.61956155,0.63043165,0.7161871,0.7194928,0.6178043,0.6225021,0.65878844,0.6481713,0.6397587,0.53263867,0.42651033,0.736911,0.54886854,0.44840997,0.62767506,0.5309918,0.44820482,0.6199317,0.5324087,0.63223827,0.8033693,0.6363454,0.6343914,0.67075557,0.6222912,0.6523471
MIE GEMES LV 4,0.9710019,0.9887608,0.9908103,0.98589176,1.0,0.84087956,0.8417479,0.8387099,0.82232773,0.94248235,0.96376014,0.96775436,0.9643377,0.9759238,0.89214146,0.89125764,0.8638626,0.23994718,0.7587864,0.33829486,0.63531744,0.41632265,0.58572936,0.4264077,0.43505335,0.62797165,0.532614,0.635575,0.52100396,0.5002807,0.41137642,0.6069261,0.6042956,0.7029789,0.70753574,0.61603945,0.6099205,0.64656246,0.6366833,0.63472223,0.5355037,0.4304607,0.72239906,0.5275875,0.4448011,0.6192155,0.5234864,0.4237333,0.6019249,0.5235871,0.63327324,0.7930855,0.633954,0.6357194,0.6612105,0.6136037,0.6505923
MIE AYAM,0.8584715,0.8598811,0.85343486,0.84493434,0.84087956,0.99999994,0.98672926,0.98280406,0.97765076,0.88036,0.87935257,0.87797713,0.86962646,0.8743658,0.9219683,0.922416,0.91390115,0.2931658,0.85691893,0.479981,0.6421884,0.41722453,0.61990523,0.5601277,0.509113,0.7034912,0.49815208,0.66995645,0.5268174,0.56302357,0.5120891,0.6049788,0.656165,0.7376322,0.6682435,0.630124,0.63530195,0.60718644,0.6610327,0.6318596,0.4611289,0.47088462,0.7227567,0.5263792,0.5352321,0.6121886,0.58667874,0.41581324,0.61927044,0.5042343,0.623659,0.8052299,0.6330601,0.6123111,0.6911865,0.64501226,0.69235265
MIE AYAM PANGSIT,0.8520032,0.85909045,0.85442364,0.84486526,0.8417479,0.98672926,0.9999998,0.9885892,0.97676647,0.87661123,0.87825,0.87867606,0.8691428,0.8761278,0.92904437,0.9289181,0.91508603,0.2714591,0.87151074,0.48077744,0.66343844,0.4055205,0.62744236,0.56206346,0.5140663,0.7109639,0.4966176,0.6674508,0.5146639,0.56562537,0.502653,0.60720026,0.65382487,0.7430941,0.6696236,0.62868845,0.6422085,0.62432015,0.6757937,0.6818862,0.46661317,0.49088728,0.7356889,0.53434205,0.5507919,0.5994693,0.5937667,0.40870374,0.62062085,0.5207325,0.6199862,0.79952806,0.6579076,0.6153962,0.6990696,0.64902276,0.700987
MIE AYAM CEKER,0.8484055,0.8542299,0.8524381,0.84035,0.8387099,0.98280406,0.9885892,1.0000002,0.9796175,0.86893475,0.8652903,0.86870015,0.8573508,0.864611,0.9292872,0.93058443,0.9197345,0.30505133,0.86888325,0.46315446,0.66401523,0.42102373,0.6289518,0.5510001,0.48706573,0.68593407,0.48283702,0.66970575,0.5450343,0.5538555,0.47439975,0.6119503,0.65351355,0.73806846,0.6761015,0.6209247,0.6436051,0.63115203,0.666046,0.66389257,0.46351272,0.4855299,0.7272071,0.5314391,0.5603279,0.61449605,0.5934053,0.40561092,0.61656845,0.53029126,0.62382746,0.81543386,0.66334146,0.6346038,0.70724666,0.6583265,0.7009794
MIE AYAM BAKSO,0.83529794,0.8407018,0.8359099,0.82619596,0.82232773,0.97765076,0.97676647,0.9796175,1.0,0.8509516,0.8479241,0.84914255,0.8390776,0.844337,0.91748255,0.92075944,0.9370096,0.41416693,0.8495017,0.48892444,0.6638603,0.43209326,0.629285,0.5524814,0.47652388,0.68241864,0.48465562,0.63953465,0.54460204,0.5601254,0.4719718,0.6172919,0.6568397,0.73226774,0.6627803,0.6099087,0.6452233,0.6208393,0.652578,0.6479362,0.46737587,0.4707247,0.70739055,0.54158413,0.5589769,0.59986544,0.59805846,0.3977158,0.60072744,0.545089,0.6036532,0.79328454,0.6348409,0.60998285,0.67668813,0.65667325,0.6858047
MIE YAMIN (0),0.9749954,0.95079386,0.95030904,0.9537932,0.94248235,0.88036,0.87661123,0.86893475,0.8509516,0.9999999,0.9786587,0.9793541,0.98169315,0.9764318,0.87322724,0.8703723,0.8505641,0.24144197,0.81538224,0.40966082,0.6250006,0.40689716,0.5746889,0.46720695,0.5201695,0.67085254,0.5309966,0.65016913,0.52793586,0.52629066,0.47917086,0.59231263,0.63013077,0.7125794,0.70395315,0.60989356,0.6169225,0.6450571,0.64293814,0.632071,0.5098692,0.45998782,0.7224333,0.52687705,0.46312886,0.6245167,0.5376997,0.4209102,0.5952827,0.4960147,0.6119894,0.7851236,0.6316149,0.6391411,0.6521474,0.6141225,0.6563625
