nama,AIR MINERAL,BAKSO SAPI,CAPPUCINO CINCAU,CWIE MIE,CWIE MIE BAKSO,CWIE MIE PANGSIT,DIMSUM BOLA KEJU,DIMSUM BOLA RAMBUTAN,DIMSUM EKADO,DIMSUM KEICHAK,DIMSUM LUMPIA NORI,DIMSUM MONEY BAG,DIMSUM SIOMAY AYAM,DIMSUM SIOMAY BEEF,DIMSUM SIOMAY CRAB,DIMSUM SIOMAY JAMUR,DIMSUM SIOMAY KEJU,DIMSUM SIOMAY MOZARELLA,DIMSUM SIOMAY RANJAU,DIMSUM SIOMAY SALMON,DIMSUM SPRING ROLL,DIMSUM SUSHI,DIMSUM TIM TAHU,DIMSUM XIAO LONG BAO,ES BERAS KENCUR,ES JERUK,ES KOPI MILO,ES KOPI SUSU,ES KOPI SUSU RUM REGAL,ES KOPI SUSU VANILLA,ES LEMON TEA,ES MILO,ES TEH,GOODDAY CAPPUCINO,GREEN THAI TEA,HOT LEMON TEA,JERUK HANGAT,KOPI HITAM,MIE AYAM,MIE AYAM BAKSO,MIE AYAM CEKER,MIE AYAM KOMPLIT,MIE AYAM PANGSIT,MIE GEMES LV 1,MIE GEMES LV 2,MIE GEMES LV 3,MIE GEMES LV 4,MIE KALEM,MIE YAMIN (0),MIE YAMIN LV 1,MIE YAMIN LV 2,MIE YAMIN LV 3,MIE YAMIN LV 4,PANGSIT GORENG,PANGSIT REBUS,TEH HANGAT,THAI TEA
AIR MINERAL,1.0,0.05725827869647773,0.04389517586670342,0.04519230028748061,0.050889004225321964,0.05120947144283912,0.06011726641394176,0.05439990173184641,0.02619355383202715,0.042848431830504005,0.055842526127297426,0.04786703250638928,0.06537821998206442,0.015570184727839338,0.032797838734947245,0.020127005993963134,0.02531785712489247,0.044800220705884075,0.015600796964320249,0.02603809778996203,0.039545287811313785,0.022560482344833738,0.020181198644048926,0.003583892008255432,0.04600980213471772,0.08340087871012539,0.03229560908831389,0.02575751302546911,0.005177798638287748,0.018920134374275657,0.04553845394184552,0.06558617375974712,0.09551627832959417,0.033508631897583255,0.04457685389285144,0.0031921450192387017,0.0613723172173256,0.04962726451989828,0.06613848527247566,0.068836510576262,0.05563929204223875,0.005061730610361573,0.06507725797511742,0.03356977457614362,0.037465503264395045,0.029151274350283984,0.025819824119463562,0.048176018265862465,0.06295068109190462,0.06799758383222572,0.07391696987675023,0.05131351160666665,0.048846803911201594,0.01951121391386308,0.05582306490218983,0.05362572719096258,0.035123112003221144
BAKSO SAPI,0.054490060630594625,1.0,0.06729886972581538,0.03340617472481083,0.06174039763976296,0.04691359469614153,0.046742987324233876,0.040723665578856705,0.029727897168275386,0.0279068375291206,0.03217755082564927,0.02617212724522701,0.04441520468651323,0.02159533794598323,0.023933683123773673,0.01955555606957106,0.015247518522319993,0.038603586371093845,0.01075917099419822,0.02151319884774619,0.03248167715826297,0.022619462772545958,0.020996445943010714,0.0,0.06439408589239275,0.12668740104147627,0.04066413391069493,0.037374830766444926,0.006123605325226195,0.03019339890064824,0.04712066055634388,0.0869534403584952,0.15585951500551035,0.039972318765915074,0.062208909565393274,0.011324960381612834,0.08468817210974972,0.025501168728390977,0.07039985396750162,0.09964430364990383,0.085662536853472,0.004524717309458048,0.06419244917086497,0.030695031638202835,0.026892285948516614,0.020620661926709704,0.016270104533844656,0.03697892295903861,0.049606065043057965,0.05045048182330403,0.04883360806656883,0.03875065599208993,0.02560733107162143,0.057153992816111346,0.04189785540678496,0.09955374539016752,0.040589224613438515
CAPPUCINO CINCAU,0.041080093629099985,0.06729886972581542,1.0,0.05147072098925814,0.06348410212931951,0.06449266785118685,0.051715950230907914,0.06885259754787577,0.032232464676097534,0.030949467400074027,0.057226637458050206,0.05205442458774965,0.09005712921683344,0.03363243282963187,0.041401952332599794,0.03940161961362333,0.0359016980360969,0.08408610434511953,0.017769554552167128,0.040268856589263574,0.044073464403870055,0.04675670190077744,0.033118941316978415,0.0,0.05115410996937911,0.07506107536455758,0.06300017812630365,0.017431108471260018,0.01609220036791535,0.029389954743760025,0.05861225884328487,0.10598470674394052,0.08538487153628191,0.05277581187924528,0.08105255933503897,0.013390230659163477,0.03881636127691597,0.016368707661482473,0.06056576132807896,0.07659309109158298,0.06756762652215774,0.0,0.04971294833363667,0.06100071842103912,0.06005923543380419,0.035663911616628845,0.031900726401709774,0.06047273023261544,0.07214854873237955,0.09439308924223666,0.0926945183345451,0.06298577548810688,0.053276223802366685,0.03646114935544217,0.04767467564828315,0.04881037233005768,0.07160744653130266
CWIE MIE,0.04238176977306085,0.03340617472481086,0.05147072098925814,1.0,0.028898433401992295,0.039535917130837636,0.03706817433966331,0.04130880115262396,0.022601574042242997,0.03103173566525585,0.03157754750679402,0.03824560490971696,0.05055989850492525,0.026270352786605167,0.01972989317424322,0.023778878439472153,0.02731889920563971,0.04299642145039945,0.014968605711290774,0.025149421277339247,0.024914301871013244,0.029646614106826966,0.01781406024147239,0.007709967740500237,0.04436187635026953,0.07472933728263828,0.027044921954716885,0.027817386141608308,0.0037256243229938156,0.01907030922584906,0.039017056974301655,0.06850452362902665,0.0895914383520033,0.03802129475071137,0.04408188862086243,0.00861932863214851,0.04252577330685806,0.010344448229905932,0.05468211434812284,0.02175817377418427,0.025918569012474853,0.0,0.026037187578223684,0.04981188649114502,0.03199615024439242,0.01764094877814728,0.013423850746376906,0.03998087165918808,0.04474827145822902,0.05317926234903479,0.056707194629159,0.03916703981881772,0.026320654426640458,0.019025794844320727,0.0455944228469759,0.06670713037527339,0.040416122562388114
CWIE MIE BAKSO,0.04809865661731848,0.06174039763976305,0.06348410212931956,0.028898433401992312,1.0,0.06261827507880231,0.04645998236509927,0.04751594218506321,0.03295000188313769,0.042575759276538575,0.05430810878268902,0.04464042173116092,0.06002009942751614,0.03628792889413798,0.02575580873154377,0.032342930262268615,0.02236994488036696,0.0519190911026048,0.014139473105196898,0.03336269970583551,0.026852829472911996,0.03999758570773736,0.030758216074374296,0.0,0.07461103568343982,0.1010427476692858,0.045878344698634436,0.027294510373519855,0.016101612853058132,0.032401828045235344,0.05686531177109931,0.07099396156478836,0.07987189869077894,0.03476899243649378,0.06704008367503014,0.037310810259671645,0.0732911420929708,0.013034226561907782,0.024651490843967463,0.06894962299346398,0.041648220587550216,0.0,0.04700414720802833,0.0209403004644043,0.02313864798474758,0.018940503427080407,0.009617918990650915,0.030429768478155594,0.03915752737619043,0.04043871252579603,0.04107882903186962,0.0307099906667551,0.026835463602289517,0.03893517882019971,0.05358980935707234,0.07250048060574892,0.06553092888765878
CWIE MIE PANGSIT,0.04842027913089558,0.04691359469614161,0.0644926678511869,0.03953591713083768,0.06261827507880234,1.0,0.05081591511191187,0.044906568274104,0.012258913419804684,0.025455184895690743,0.05083680511013838,0.04196440324433377,0.04215313420325137,0.027376520090864512,0.029337095697145356,0.03935096603697282,0.03205836164407698,0.05224775888495159,0.010171091996363728,0.025167898423964354,0.022523135730288697,0.029883270473170066,0.016187856503024275,0.0,0.05081687129338622,0.1071726449897214,0.03248683603949913,0.02060433495401591,0.01622013018153349,0.022230198458852064,0.05419855970773716,0.0897278003193259,0.0939754185986543,0.03501373492286303,0.05514507023740196,0.020645416389407957,0.0659906450978693,0.018765812425601755,0.029512613199934822,0.03859908017980211,0.047945752006456926,0.0,0.056991558470612214,0.033554933486886505,0.028205014563747254,0.019937888854004424,0.0067761849735015894,0.041095857715118235,0.04781497379336348,0.04569417118609956,0.0462805850176148,0.042000367849477915,0.025712640111014807,0.017373694419370863,0.030067652104342823,0.08496576026212949,0.06296359226828306
DIMSUM BOLA KEJU,0.057359043869237146,0.04674298732423393,0.05171595023090794,0.03706817433966332,0.04645998236509925,0.05081591511191184,1.0,0.13702881740531275,0.052877655637468976,0.08086149117940013,0.10735158318890733,0.09455330286012587,0.05471483363581882,0.03360574325512622,0.03153352958732783,0.042461626572811495,0.027735275000445432,0.09893482704438385,0.02298159423501593,0.03258873233006306,0.07271764581780242,0.027749109548174302,0.054548123139753914,0.009557011237545453,0.037930246485159504,0.0730378022807006,0.04850040598349786,0.03100829832265682,0.01831205075048788,0.02449636070078865,0.06099436890647213,0.09228845325689805,0.09668418397444972,0.034331404388755746,0.07565869264122002,0.009870890643992328,0.02798575618126818,0.011281890929149711,0.02929161900277711,0.044931511404819026,0.028883024853630316,0.0,0.03928993038228336,0.05716193360350667,0.04947228469243296,0.04455410030486404,0.03693849526297144,0.04697860692373716,0.08227474995662036,0.1348128431922513,0.1209834913781686,0.08526695102730977,0.06852078759666078,0.027133274449616784,0.031958454420530955,0.03433048770557088,0.06923523874172505
DIMSUM BOLA RAMBUTAN,0.051621722414509894,0.040723665578856774,0.06885259754787584,0.041308801152624,0.047515942185063234,0.044906568274104,0.13702881740531284,1.0,0.05089809239222271,0.06191246839765121,0.09099599481367697,0.10773909800012513,0.07557767644058407,0.03180535714001286,0.030610212245669708,0.03386067574094167,0.026778307746896185,0.05595043731672834,0.016811170140030668,0.03331317605911775,0.05966121746811365,0.038984668506132594,0.06480121702742188,0.003178763419866693,0.0350307782305642,0.08736631012552126,0.03564370223443182,0.019574841571957158,0.006087036821476819,0.01999061782136523,0.06320773073153023,0.09361150068345883,0.10603785079606812,0.050709671099139986,0.0583398414762317,0.012665077690689234,0.03550450931611564,0.011256979232489564,0.0318335769658614,0.04570464271245217,0.033481285579044055,0.0,0.036011970288196055,0.061774089888648825,0.07168386453524189,0.05649955263661472,0.047985216837695376,0.05847631394538978,0.09300870537839832,0.12889008614287056,0.12979288596076444,0.0997454146755578,0.07448934839852972,0.03448705878820365,0.02284877603584573,0.04203496288156068,0.07082209069694137
DIMSUM EKADO,0.023320118601653915,0.029727897168275404,0.03223246467609753,0.02260157404224299,0.03295000188313765,0.012258913419804668,0.05287765563746895,0.05089809239222264,1.0,0.07387789227362344,0.07906745799390189,0.037472343842674394,0.031024617202909614,0.019841059049920895,0.03732745994870219,0.031225753711133925,0.022833798797539127,0.03967923442748805,0.003709711670533132,0.030716059598188076,0.0670417201207326,0.036101100647527716,0.050454633590863926,0.007501809677362098,0.02958037025238624,0.03275510630374992,0.012587375318929164,0.009771380141311577,0.022224863355670407,0.023948013703033864,0.03460349333928321,0.03666886300283248,0.024512432367359185,0.015866150252762258,0.025867689026731915,0.0068269322714765894,0.025224478166167144,0.003411931275218744,0.00744542821167112,0.0199838768971169,0.021579686318307104,0.0,0.02004874729141049,0.020792361305520424,0.029722112294345605,0.018900944648242615,0.011548513492518342,0.022728838546704436,0.03185618151363635,0.04407934108574552,0.04749842847686848,0.030072234746745346,0.021888371136238757,0.02255899251113573,0.01996583312765061,0.021004371303406613,0.03393280984947748
DIMSUM KEICHAK,0.04003284459704035,0.02790683752912064,0.03094946740007404,0.031031735665255866,0.04257575927653857,0.02545518489569073,0.08086149117940014,0.061912468397651174,0.0738778922736235,1.0,0.08651538776854109,0.09100554654401224,0.036415007140837286,0.04040746333710159,0.03670984722670817,0.03172547500771959,0.018485361384427745,0.04017981035764105,0.017653147601205142,0.03837760233651609,0.0640558097138546,0.03253754097959183,0.07945918332462726,0.02383994443379065,0.023003730459135074,0.04296416705235716,0.022041809366134858,0.025575899136828607,0.0,0.01915219378097941,0.03690261769054501,0.03865644795114832,0.04551480678453621,0.023064968145872423,0.035380980100891905,0.005415507431120563,0.018128954620465272,0.005415507431120562,0.016187102287201913,0.026871144202529236,0.02605187351086967,0.0,0.025019816885136957,0.03040476832778948,0.01814457564844283,0.02157305187328082,0.02982401840070616,0.02720137998529675,0.03609968909485403,0.05880856859823413,0.0650420647757981,0.06528869625754702,0.04615379520829717,0.01528933948784079,0.017669894495239383,0.019167717109081127,0.04532226988397095
